month,car_registrations_x,air_pollution_concentration,air_pollutant_type,consumption,ipi_index,avg_rainfall_mm,fire_brightness,fire_frp,car_registrations_y
2017-01,46231,0.561,CO,14696.45862,108.212,9.306693548,326.2875,6.290231959,46231
2017-01,46231,0.0076,NO2,14696.45862,108.212,9.306693548,326.2875,6.290231959,46231
2017-01,46231,0.015,O3,14696.45862,108.212,9.306693548,326.2875,6.290231959,46231
2017-01,46231,38,PM 10,14696.45862,108.212,9.306693548,326.2875,6.290231959,46231
2017-01,46231,,PM 2.5,14696.45862,108.212,9.306693548,326.2875,6.290231959,46231
2017-01,46231,0.0023,SO2,14696.45862,108.212,9.306693548,326.2875,6.290231959,46231
2017-02,42430,0.53,CO,14516.11893,99.487,3.492708333,324.9487671,4.080465753,42430
2017-02,42430,0.0071,NO2,14516.11893,99.487,3.492708333,324.9487671,4.080465753,42430
2017-02,42430,0.018,O3,14516.11893,99.487,3.492708333,324.9487671,4.080465753,42430
2017-02,42430,40.89,PM 10,14516.11893,99.487,3.492708333,324.9487671,4.080465753,42430
2017-02,42430,,PM 2.5,14516.11893,99.487,3.492708333,324.9487671,4.080465753,42430
2017-02,42430,0.0025,SO2,14516.11893,99.487,3.492708333,324.9487671,4.080465753,42430
2017-03,54982,0.589,CO,14853.97555,109.084,5.134032258,325.832465,4.645629371,54982
2017-03,54982,0.0082,NO2,14853.97555,109.084,5.134032258,325.832465,4.645629371,54982
2017-03,54982,0.017,O3,14853.97555,109.084,5.134032258,325.832465,4.645629371,54982
2017-03,54982,42.31,PM 10,14853.97555,109.084,5.134032258,325.832465,4.645629371,54982
2017-03,54982,,PM 2.5,14853.97555,109.084,5.134032258,325.832465,4.645629371,54982
2017-03,54982,0.0028,SO2,14853.97555,109.084,5.134032258,325.832465,4.645629371,54982
2017-04,42555,0.662,CO,11712.19153,103.819,3.859638889,325.8371404,4.725972927,42555
2017-04,42555,0.0087,NO2,11712.19153,103.819,3.859638889,325.8371404,4.725972927,42555
2017-04,42555,0.015,O3,11712.19153,103.819,3.859638889,325.8371404,4.725972927,42555
2017-04,42555,37.76,PM 10,11712.19153,103.819,3.859638889,325.8371404,4.725972927,42555
2017-04,42555,,PM 2.5,11712.19153,103.819,3.859638889,325.8371404,4.725972927,42555
2017-04,42555,0.0027,SO2,11712.19153,103.819,3.859638889,325.8371404,4.725972927,42555
2017-05,51247,,CO,11752.10018,107.854,7.272311828,326.7835892,5.194198646,51247
2017-05,51247,,NO2,11752.10018,107.854,7.272311828,326.7835892,5.194198646,51247
2017-05,51247,,O3,11752.10018,107.854,7.272311828,326.7835892,5.194198646,51247
2017-05,51247,,PM 10,11752.10018,107.854,7.272311828,326.7835892,5.194198646,51247
2017-05,51247,,PM 2.5,11752.10018,107.854,7.272311828,326.7835892,5.194198646,51247
2017-05,51247,,SO2,11752.10018,107.854,7.272311828,326.7835892,5.194198646,51247
2017-06,51489,,CO,13204.6662,109.514,5.857888889,328.2455677,5.929471229,51489
2017-06,51489,,NO2,13204.6662,109.514,5.857888889,328.2455677,5.929471229,51489
2017-06,51489,,O3,13204.6662,109.514,5.857888889,328.2455677,5.929471229,51489
2017-06,51489,,PM 10,13204.6662,109.514,5.857888889,328.2455677,5.929471229,51489
2017-06,51489,,PM 2.5,13204.6662,109.514,5.857888889,328.2455677,5.929471229,51489
2017-06,51489,,SO2,13204.6662,109.514,5.857888889,328.2455677,5.929471229,51489
2017-07,48070,0.716,CO,12167.79661,110.29,6.770268817,332.773943,8.433993671,48070
2017-07,48070,0.0082,NO2,12167.79661,110.29,6.770268817,332.773943,8.433993671,48070
